event_id,customer_id,ts,event_name,page,region,consent_measurement,consent_marketing
ev4438776874,686,2025-08-11 08:57:35.155195,signup,/checkout,EU,True,True
ev8984287755,484,2025-08-15 17:31:35.155201,begin_checkout,/thank-you,EU,True,True
ev5674270234,475,2025-06-26 15:02:35.155206,begin_checkout,/checkout,EU,True,False
ev9077167933,586,2025-07-06 23:49:35.155212,page_view,/checkout,UK,True,True
ev8541928065,403,2025-07-10 13:09:35.155217,page_view,/checkout,EU,True,True
ev9986676425,225,2025-06-22 16:35:35.155223,page_view,/,EU,True,True
ev6947094473,202,2025-06-27 13:28:35.155228,add_to_cart,/cart,US,False,False
ev1603204451,704,2025-08-15 16:41:35.155234,purchase,/,EU,True,True
ev9123829713,424,2025-07-03 13:13:35.155239,page_view,/products,EU,True,False
ev2665751046,679,2025-07-15 07:37:35.155245,page_view,/thank-you,EU,True,True
ev2410666127,693,2025-08-05 22:28:35.155251,page_view,/products,EU,True,True
ev4320773712,134,2025-06-25 02:24:35.155256,purchase,/thank-you,US,False,True
ev2862501169,576,2025-08-17 13:57:35.155264,add_to_cart,/products,UK,True,True
ev2255376799,421,2025-07-23 03:46:35.155274,page_view,/products,US,False,False
ev6743454715,658,2025-07-26 15:02:35.155283,add_to_cart,/cart,EU,False,True
ev9190077379,647,2025-06-22 16:13:35.155293,page_view,/cart,US,True,True
ev3372713342,484,2025-08-15 20:34:35.155303,page_view,/products,EU,True,False
ev4366306984,412,2025-07-01 18:13:35.155315,page_view,/cart,US,True,True
ev6771202060,78,2025-06-22 20:11:35.155325,purchase,/products,BR,False,True
ev3699707614,615,2025-07-29 02:33:35.155335,add_to_cart,/thank-you,EU,False,False
ev5439220400,150,2025-07-27 22:58:35.155345,add_to_cart,/thank-you,EU,True,True
ev9214677220,573,2025-07-01 16:48:35.155355,page_view,/cart,BR,False,True
ev2053144923,337,2025-07-29 04:31:35.155368,add_to_cart,/thank-you,EU,True,False
ev5812786833,349,2025-07-15 18:01:35.155374,add_to_cart,/checkout,US,True,False
ev2917821050,712,2025-08-07 13:53:35.155379,add_to_cart,/,EU,True,True
ev7959772680,649,2025-08-07 20:20:35.155385,page_view,/products,UK,True,False
ev2873640529,382,2025-08-04 01:40:35.155391,add_to_cart,/products,EU,True,True
ev8297013762,596,2025-06-29 03:28:35.155396,page_view,/,EU,True,True
ev4626069368,751,2025-08-11 13:05:35.155402,page_view,/cart,US,True,True
ev9377155960,285,2025-06-29 20:55:35.155407,add_to_cart,/checkout,EU,True,True
ev4266201326,383,2025-08-01 13:03:35.155412,page_view,/cart,US,False,True
ev5437190777,131,2025-07-14 09:54:35.155418,begin_checkout,/checkout,EU,True,True
ev1960264372,586,2025-06-23 08:24:35.155423,signup,/thank-you,EU,True,False
ev3495150858,191,2025-07-22 22:27:35.155429,page_view,/products,EU,False,True
ev4739807708,554,2025-07-15 14:35:35.155434,add_to_cart,/,UK,True,True
ev9035338404,641,2025-08-07 22:00:35.155439,page_view,/cart,EU,True,False
ev6278087371,10,2025-07-23 13:26:35.155445,add_to_cart,/products,CA,True,False
ev8286635992,752,2025-08-11 16:02:35.155451,add_to_cart,/products,EU,False,True
ev8680640732,347,2025-07-06 02:49:35.155461,add_to_cart,/products,US,True,True
ev1811114202,759,2025-08-17 17:29:35.155471,add_to_cart,/,EU,False,True
ev3833938979,459,2025-08-18 02:18:35.155481,begin_checkout,/cart,EU,True,True
ev8490049867,312,2025-08-15 05:45:35.155491,page_view,/,BR,True,False
ev7801412501,787,2025-07-03 16:03:35.155501,page_view,/thank-you,EU,True,True
ev6076225328,550,2025-07-11 17:58:35.155512,page_view,/cart,EU,True,False
ev4634562217,654,2025-06-22 18:53:35.155522,page_view,/products,EU,True,False
ev5489671417,486,2025-06-24 15:15:35.155532,add_to_cart,/cart,UK,True,False
ev1133883183,191,2025-08-15 21:12:35.155543,page_view,/products,EU,False,True
ev2157585239,562,2025-08-01 17:02:35.155553,add_to_cart,/checkout,BR,True,True
ev4202963219,237,2025-07-04 17:26:35.155563,purchase,/,EU,True,True
ev2261110017,748,2025-07-23 18:33:35.155569,begin_checkout,/products,UK,True,True
ev3072944420,391,2025-08-02 04:49:35.155576,begin_checkout,/checkout,UK,True,True
ev8258575458,518,2025-08-09 00:00:35.155586,page_view,/checkout,UK,True,True
ev7913489347,289,2025-07-14 16:12:35.155596,begin_checkout,/thank-you,EU,True,False
ev7577797649,201,2025-07-25 03:20:35.155607,add_to_cart,/checkout,UK,True,False
ev6097339742,293,2025-07-27 06:32:35.155617,page_view,/checkout,EU,False,False
ev9296013136,351,2025-07-24 18:12:35.155626,page_view,/checkout,EU,True,True
ev3067494689,454,2025-08-15 01:03:35.155636,signup,/cart,EU,True,True
ev6584162410,61,2025-07-16 03:24:35.155646,signup,/checkout,EU,True,True
ev4787146922,38,2025-06-28 04:41:35.155656,page_view,/,EU,True,False
ev9477702400,316,2025-08-08 16:09:35.155666,begin_checkout,/,BR,True,True
ev4091344644,343,2025-08-15 19:31:35.155676,page_view,/checkout,EU,True,True
ev3144145332,95,2025-07-10 00:44:35.155686,page_view,/products,US,True,False
ev7912090196,58,2025-07-13 03:30:35.155697,page_view,/checkout,EU,True,True
ev8292291150,473,2025-07-23 15:13:35.155708,page_view,/products,EU,True,False
ev7469186413,13,2025-07-23 01:51:35.155718,page_view,/,US,True,True
ev8050709977,536,2025-08-10 11:04:35.155732,page_view,/,EU,True,False
ev2727865040,682,2025-06-22 07:39:35.155739,begin_checkout,/cart,EU,False,False
ev6444388645,669,2025-08-02 16:51:35.155745,page_view,/products,EU,True,True
ev5834169176,49,2025-07-24 03:01:35.155750,add_to_cart,/cart,EU,True,True
ev9185762371,388,2025-07-17 09:15:35.155756,page_view,/products,EU,True,False
ev4576574534,526,2025-08-07 10:48:35.155761,add_to_cart,/cart,BR,True,True
ev3211271858,701,2025-08-10 21:41:35.155766,page_view,/,EU,True,True
ev3766716699,618,2025-08-09 22:17:35.155772,page_view,/checkout,EU,True,False
ev5608832078,587,2025-06-24 01:37:35.155777,add_to_cart,/products,EU,True,False
ev9849199092,66,2025-07-12 21:42:35.155783,add_to_cart,/thank-you,BR,True,True
ev7281477003,53,2025-07-13 05:57:35.155788,add_to_cart,/products,EU,False,False
ev7480538349,63,2025-07-28 10:13:35.155794,add_to_cart,/checkout,US,True,True
ev5201313042,767,2025-07-10 08:23:35.155799,add_to_cart,/checkout,UK,False,True
ev4569978839,24,2025-08-03 12:02:35.155805,begin_checkout,/checkout,EU,True,True
ev9383356527,163,2025-07-05 10:36:35.155810,add_to_cart,/,UK,True,True
ev5054497540,701,2025-08-03 13:53:35.155815,page_view,/checkout,US,True,True
ev2129307786,776,2025-06-23 17:09:35.155821,page_view,/products,US,True,False
ev8020235601,383,2025-07-14 21:15:35.155830,page_view,/cart,UK,True,True
ev2816160659,480,2025-06-21 22:18:35.155839,page_view,/cart,EU,False,False
ev4511117189,120,2025-08-12 21:24:35.155849,begin_checkout,/products,EU,True,True
ev6508577142,152,2025-07-17 10:04:35.155855,add_to_cart,/products,EU,True,True
ev8487576007,784,2025-07-06 00:26:35.155860,add_to_cart,/checkout,EU,True,False
ev1061237213,619,2025-06-26 08:27:35.155866,page_view,/checkout,EU,True,True
ev6868666471,492,2025-07-01 03:22:35.155871,purchase,/thank-you,UK,True,True
ev2226054518,542,2025-08-09 06:48:35.155877,page_view,/thank-you,EU,True,False
ev6681049676,708,2025-07-23 07:13:35.155883,page_view,/cart,EU,True,False
ev6443930252,225,2025-08-06 10:58:35.155889,purchase,/cart,UK,False,True
ev5647991868,79,2025-08-16 21:17:35.155894,begin_checkout,/cart,EU,True,False
ev4837123538,409,2025-08-08 08:44:35.155900,add_to_cart,/checkout,EU,True,False
ev5867969245,467,2025-07-17 03:57:35.155905,purchase,/thank-you,BR,True,True
ev9613911242,768,2025-07-22 10:02:35.155910,page_view,/cart,EU,True,False
ev4169816903,606,2025-08-15 06:17:35.155916,page_view,/cart,UK,True,True
ev5242219244,534,2025-07-31 21:11:35.155921,add_to_cart,/thank-you,EU,True,False
ev2326176347,356,2025-07-04 07:21:35.155927,page_view,/cart,US,True,True
ev4496816765,178,2025-07-05 09:55:35.155932,page_view,/cart,CA,True,True
ev1465619433,397,2025-08-05 17:28:35.155938,begin_checkout,/products,US,False,True
ev9185736006,215,2025-07-20 08:07:35.155943,page_view,/,EU,True,False
ev4107763809,42,2025-07-21 03:26:35.155948,begin_checkout,/,EU,True,True
ev9438812676,353,2025-08-14 21:18:35.155954,page_view,/cart,EU,True,False
ev2216017514,172,2025-07-27 00:35:35.155959,page_view,/checkout,BR,True,True
ev6953081595,435,2025-07-08 19:26:35.155964,signup,/products,EU,True,True
ev6423067523,206,2025-07-01 09:47:35.155970,page_view,/products,CA,False,False
ev6950605074,783,2025-07-19 18:34:35.155975,page_view,/thank-you,EU,True,True
ev8155914403,354,2025-08-12 23:20:35.155980,page_view,/cart,EU,True,False
ev1671539980,506,2025-07-03 00:33:35.155986,page_view,/,EU,False,True
ev7653694007,13,2025-08-19 17:49:35.155991,page_view,/thank-you,EU,True,False
ev1234593440,689,2025-06-22 21:47:35.155996,page_view,/cart,EU,True,False
ev3712816478,70,2025-07-17 08:09:35.156002,add_to_cart,/,EU,True,True
ev8626123501,751,2025-08-08 12:26:35.156007,add_to_cart,/cart,EU,True,True
ev6133229056,472,2025-07-28 09:26:35.156013,begin_checkout,/cart,EU,True,True
ev9378672021,26,2025-07-31 12:37:35.156023,page_view,/thank-you,EU,True,False
ev8758101907,789,2025-07-14 21:51:35.156033,page_view,/products,EU,False,True
ev4809238650,617,2025-07-10 09:54:35.156043,page_view,/thank-you,EU,True,True
ev3533831731,206,2025-08-02 09:31:35.156054,add_to_cart,/thank-you,EU,True,True
ev2833442199,19,2025-08-10 15:22:35.156064,add_to_cart,/cart,BR,True,True
ev1380613217,423,2025-08-17 08:17:35.156074,page_view,/products,BR,True,True
ev7446867710,394,2025-08-12 04:30:35.156084,purchase,/,US,True,True
ev8254420952,398,2025-08-16 07:37:35.156094,page_view,/thank-you,EU,True,False
ev1429295595,355,2025-07-16 00:43:35.156104,add_to_cart,/checkout,EU,True,False
ev5425071849,618,2025-07-27 15:24:35.156113,add_to_cart,/,UK,True,False
ev8476966232,178,2025-07-02 09:37:35.156118,begin_checkout,/products,US,True,True
ev6755157038,426,2025-06-26 03:06:35.156123,add_to_cart,/cart,BR,True,True
ev4749536833,459,2025-06-26 13:22:35.156129,purchase,/products,EU,True,True
ev9544634270,409,2025-08-09 04:13:35.156135,page_view,/thank-you,EU,True,True
ev4804619237,141,2025-07-27 08:53:35.156140,purchase,/products,BR,True,True
ev3810923977,34,2025-07-20 20:26:35.156145,page_view,/checkout,BR,True,True
ev5475138609,461,2025-08-15 19:06:35.156151,page_view,/products,EU,True,False
ev4121397474,12,2025-07-05 07:26:35.156156,begin_checkout,/thank-you,EU,True,False
ev4528935270,676,2025-06-30 03:00:35.156161,purchase,/,US,True,True
ev5472877703,356,2025-07-07 14:32:35.156166,page_view,/,UK,True,False
ev1697434558,538,2025-08-13 19:59:35.156172,purchase,/checkout,EU,True,True
ev6431564202,99,2025-08-01 17:24:35.156177,page_view,/,EU,True,True
ev6242801607,328,2025-07-14 11:00:35.156182,page_view,/products,BR,True,True
ev7404028646,256,2025-07-31 14:50:35.156188,page_view,/products,US,True,True
ev3186303815,385,2025-08-08 20:39:35.156193,begin_checkout,/,EU,True,False
ev1368618772,120,2025-08-13 03:48:35.156199,page_view,/checkout,EU,True,True
ev7370652407,79,2025-07-23 22:56:35.156204,page_view,/products,EU,True,False
ev4320409482,635,2025-07-19 14:44:35.156209,page_view,/thank-you,EU,True,True
ev6378269752,623,2025-06-30 18:50:35.156215,purchase,/checkout,EU,True,True
ev3437046322,235,2025-06-26 10:36:35.156220,page_view,/checkout,EU,False,False
ev4136144597,26,2025-07-09 03:59:35.156225,add_to_cart,/thank-you,US,True,True
ev3366706820,520,2025-08-03 06:01:35.156231,page_view,/thank-you,EU,True,True
ev5433948506,309,2025-07-01 20:50:35.156236,page_view,/cart,EU,True,True
ev6830002664,474,2025-07-09 14:37:35.156241,page_view,/cart,EU,True,False
ev3118543641,683,2025-07-13 20:14:35.156247,page_view,/thank-you,EU,True,True
ev3844724683,560,2025-07-22 00:08:35.156253,add_to_cart,/thank-you,EU,True,True
ev5161738491,239,2025-07-22 10:45:35.156258,page_view,/cart,EU,True,False
ev7267795107,218,2025-08-03 07:08:35.156264,begin_checkout,/,EU,True,False
ev4322251170,349,2025-08-17 11:56:35.156269,page_view,/thank-you,EU,True,True
ev1560133069,129,2025-07-28 19:59:35.156275,page_view,/products,EU,True,False
ev5670140035,530,2025-07-05 16:28:35.156280,page_view,/cart,EU,True,False
ev5087878905,697,2025-08-03 11:45:35.156285,page_view,/products,UK,True,True
ev9972826623,578,2025-08-17 21:36:35.156291,purchase,/cart,US,True,True
ev6221309487,395,2025-08-06 04:46:35.156296,page_view,/products,US,True,True
ev1415683020,94,2025-08-15 04:34:35.156301,page_view,/products,BR,True,True
ev6794670831,574,2025-07-13 14:03:35.156307,page_view,/cart,US,True,True
ev1745668935,761,2025-07-22 00:01:35.156312,page_view,/checkout,US,False,False
ev4352191026,356,2025-06-25 02:25:35.156317,begin_checkout,/cart,EU,False,False
ev1315833923,2,2025-06-21 23:28:35.156323,add_to_cart,/checkout,EU,True,True
ev6407429136,22,2025-07-12 13:16:35.156328,page_view,/thank-you,EU,False,False
ev2555115970,49,2025-06-30 20:46:35.156333,add_to_cart,/thank-you,EU,True,False
ev9498470005,99,2025-07-29 05:45:35.156339,signup,/cart,EU,True,True
ev2740461580,388,2025-06-27 05:06:35.156344,page_view,/products,EU,True,True
ev9712942776,118,2025-06-24 18:08:35.156349,add_to_cart,/,EU,True,False
ev9224292742,438,2025-08-02 22:01:35.156354,page_view,/checkout,BR,True,True
ev5661952042,26,2025-06-29 14:24:35.156360,begin_checkout,/cart,EU,True,False
ev5177559186,739,2025-08-03 07:28:35.156365,page_view,/products,US,True,False
ev4501598833,573,2025-06-27 04:27:35.156371,page_view,/checkout,EU,True,True
ev7741104274,750,2025-08-06 21:30:35.156376,page_view,/thank-you,EU,True,True
ev2691433216,769,2025-07-06 06:08:35.156382,add_to_cart,/checkout,EU,True,False
ev4190474856,359,2025-07-11 19:56:35.156387,page_view,/products,US,True,True
ev1528239041,323,2025-06-28 14:37:35.156393,page_view,/,BR,True,True
ev4845982210,384,2025-08-07 00:29:35.156398,page_view,/cart,UK,True,False
ev2722154207,777,2025-07-23 23:46:35.156403,page_view,/,EU,True,True
ev9275972180,584,2025-07-28 09:40:35.156409,page_view,/cart,EU,True,False
ev5054890280,90,2025-07-13 12:08:35.156414,page_view,/,EU,False,True
ev3005473405,174,2025-08-17 19:00:35.156419,page_view,/checkout,US,True,True
ev3462753823,280,2025-07-04 19:25:35.156425,signup,/thank-you,BR,False,True
ev2604128707,499,2025-08-11 17:33:35.156430,page_view,/checkout,EU,True,True
ev1801022465,482,2025-07-30 23:47:35.156435,add_to_cart,/,EU,False,True
ev1479448920,93,2025-07-12 07:23:35.156441,page_view,/checkout,EU,True,True
ev7448438621,517,2025-08-05 01:58:35.156447,page_view,/,US,True,True
ev1944037893,352,2025-07-12 11:27:35.156452,add_to_cart,/checkout,UK,True,True
ev8574684554,23,2025-07-02 02:46:35.156457,page_view,/products,CA,True,True
ev9709377450,608,2025-07-06 07:05:35.156463,page_view,/cart,EU,False,True
ev9229122682,716,2025-06-25 18:09:35.156468,begin_checkout,/thank-you,US,True,False
ev2589291629,385,2025-07-02 03:03:35.156473,page_view,/cart,EU,True,False
ev8136707280,796,2025-07-30 17:46:35.156479,purchase,/products,BR,True,True
ev6376468454,614,2025-06-29 11:21:35.156485,page_view,/checkout,EU,True,True
ev9511803866,237,2025-08-16 03:03:35.156494,add_to_cart,/checkout,UK,False,False
ev3638657211,311,2025-08-10 13:04:35.156504,page_view,/cart,EU,True,False
ev6447517144,237,2025-06-27 12:27:35.156514,page_view,/thank-you,BR,True,True
ev6545376473,74,2025-08-07 06:05:35.156525,page_view,/cart,US,True,False
ev2706985915,506,2025-07-17 16:54:35.156535,add_to_cart,/cart,EU,True,False
ev6402206072,616,2025-07-25 14:57:35.156545,page_view,/thank-you,US,True,False
ev7526783671,335,2025-07-03 11:00:35.156555,page_view,/products,EU,True,True
ev8261420562,690,2025-07-05 12:57:35.156565,add_to_cart,/products,UK,True,True
ev8702289475,417,2025-07-26 16:26:35.156578,signup,/thank-you,BR,True,True
ev1239255618,373,2025-08-06 10:30:35.156583,purchase,/checkout,US,True,True
ev7826870216,692,2025-07-03 14:14:35.156589,page_view,/products,US,True,True
ev3919708394,441,2025-07-08 08:28:35.156594,page_view,/thank-you,CA,False,True
ev7888975682,515,2025-07-09 07:25:35.156599,page_view,/cart,UK,True,True
ev2361248558,367,2025-06-25 05:29:35.156605,page_view,/,US,True,True
ev4385303139,95,2025-07-25 05:40:35.156614,add_to_cart,/cart,EU,True,True
ev4655972607,713,2025-07-27 16:33:35.156625,begin_checkout,/thank-you,US,True,True
ev7259262259,264,2025-06-27 05:24:35.156635,page_view,/thank-you,EU,True,True
ev6542099147,342,2025-07-31 10:15:35.156645,add_to_cart,/products,US,True,False
ev8323653035,692,2025-08-11 05:47:35.156655,purchase,/thank-you,BR,True,True
ev1054412837,47,2025-08-09 10:56:35.156665,purchase,/checkout,EU,True,True
ev3559797490,747,2025-07-25 23:42:35.156675,page_view,/products,UK,False,True
ev7623289436,389,2025-06-30 21:26:35.156686,page_view,/cart,US,False,True
ev3155556323,246,2025-07-10 05:21:35.156696,add_to_cart,/,EU,True,True
ev8593387122,539,2025-08-17 03:02:35.156706,begin_checkout,/,US,True,True
ev3794343331,62,2025-07-14 17:17:35.156716,page_view,/thank-you,EU,True,False
ev7002908762,58,2025-07-12 15:23:35.156726,page_view,/cart,EU,True,False
ev1497060601,626,2025-06-26 17:20:35.156736,purchase,/,EU,False,True
ev9245651363,710,2025-06-23 08:21:35.156745,add_to_cart,/checkout,EU,True,True
ev2011965134,175,2025-07-18 12:22:35.156750,page_view,/,EU,False,False
ev4700791884,54,2025-07-12 14:55:35.156755,purchase,/thank-you,CA,True,True
ev4503501265,181,2025-06-25 04:25:35.156761,page_view,/,EU,True,False
ev3731007951,294,2025-06-28 23:14:35.156766,add_to_cart,/products,EU,False,True
ev5824581844,330,2025-07-18 19:57:35.156773,add_to_cart,/thank-you,EU,True,True
ev5721453188,501,2025-07-19 19:06:35.156778,page_view,/,CA,True,True
ev8147830681,67,2025-07-22 22:20:35.156784,page_view,/thank-you,BR,False,True
ev9748807346,708,2025-07-04 00:54:35.156789,page_view,/products,EU,True,False
ev8206571600,543,2025-06-30 16:44:35.156794,add_to_cart,/,EU,True,False
ev7510321904,238,2025-06-23 12:32:35.156800,begin_checkout,/checkout,US,True,False
ev2780395424,687,2025-07-16 15:44:35.156805,add_to_cart,/products,BR,False,True
ev2910115792,351,2025-07-06 08:21:35.156810,page_view,/thank-you,UK,True,False
ev1111935616,270,2025-08-17 02:05:35.156816,page_view,/cart,US,False,False
ev1836578535,767,2025-06-26 01:01:35.156821,page_view,/cart,UK,False,True
ev8045586298,539,2025-07-02 18:32:35.156826,signup,/thank-you,EU,True,False
ev1511841226,748,2025-07-25 09:44:35.156832,page_view,/thank-you,EU,True,True
ev3425278825,107,2025-07-02 09:22:35.156837,add_to_cart,/thank-you,EU,True,True
ev4450270203,604,2025-07-22 11:21:35.156842,page_view,/products,EU,True,True
ev2414703493,288,2025-07-03 13:07:35.156848,page_view,/products,CA,True,True
ev4056650255,133,2025-07-29 03:18:35.156853,page_view,/thank-you,BR,True,True
ev3270036288,125,2025-07-02 22:39:35.156858,page_view,/cart,EU,True,False
ev4682601661,613,2025-07-04 18:50:35.156864,page_view,/thank-you,EU,True,True
ev2606717834,84,2025-06-30 01:01:35.156869,add_to_cart,/cart,EU,True,False
ev1230530628,107,2025-07-06 14:27:35.156875,page_view,/products,EU,False,True
ev9178086373,221,2025-07-06 07:20:35.156880,page_view,/,CA,True,True
ev7684333329,637,2025-07-01 04:35:35.156885,purchase,/,US,True,True
ev7931374449,295,2025-08-03 18:52:35.156891,page_view,/thank-you,EU,False,True
ev3292492256,529,2025-07-27 14:09:35.156897,page_view,/cart,BR,False,True
ev9456555481,19,2025-07-05 15:20:35.156906,signup,/products,EU,False,True
ev8499190259,438,2025-07-18 03:44:35.156919,page_view,/,EU,False,False
ev4675577350,514,2025-07-01 13:54:35.156924,page_view,/products,US,True,False
ev3604902952,540,2025-08-05 05:25:35.156930,page_view,/checkout,BR,False,True
ev8137252786,515,2025-07-11 14:51:35.156935,page_view,/products,US,False,True
ev1187499896,293,2025-08-17 17:34:35.156941,page_view,/checkout,BR,True,True
ev6151662319,231,2025-08-17 22:47:35.156946,page_view,/thank-you,US,False,True
ev8810782898,700,2025-07-12 16:05:35.156951,page_view,/checkout,EU,False,False
